               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11658,            0.022818,                   0,           0.0006734,             0.13937,          0.00065986,          0.00013691,              0.1051,            0.015048,                   0,              0.0892,              0.0012,              0.0012
                   1,            0.097101,            0.020567,                   0,           0.0019276,             0.39895,            0.008028,           0.0022707,            0.088118,            0.014086,                   0,            0.077475,           0.0024753,           0.0024753
                   2,            0.081303,            0.019648,                   0,             0.44986,              0.1324,             0.16163,            0.053072,            0.074032,            0.013441,                   0,            0.065725,           0.0037248,           0.0037248
                   3,            0.070017,            0.019362,                   0,             0.33412,             0.16899,             0.12691,            0.035753,            0.069391,            0.012715,                   0,            0.053949,           0.0049485,           0.0049485
                   4,            0.064652,            0.017684,                   0,             0.46292,             0.38291,             0.32283,             0.12355,            0.061547,            0.012241,                   0,            0.042147,           0.0061466,           0.0061466
                   5,            0.062838,            0.017218,                   0,             0.52237,             0.36063,             0.38745,             0.13595,            0.063727,            0.011517,                   0,            0.030319,           0.0073188,           0.0073188
                   6,             0.05875,             0.01678,                   0,             0.47054,             0.37282,             0.40498,             0.14834,            0.060936,            0.011352,                   0,            0.018465,           0.0084654,           0.0084654
                   7,             0.05664,            0.016272,                   0,             0.56893,             0.53136,             0.53294,             0.18709,            0.055077,            0.010936,                   0,            0.009307,            0.009307,            0.009307
                   8,            0.054977,            0.014708,                   0,             0.64581,             0.43902,             0.53743,             0.21546,            0.053566,             0.01103,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.050333,            0.013975,                   0,             0.59075,             0.58596,             0.61394,             0.23853,            0.052066,            0.010917,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.048368,            0.013064,                   0,             0.59217,             0.59233,              0.5795,             0.22284,            0.047704,            0.010088,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.046204,             0.01124,                   0,             0.63129,             0.67596,             0.70283,             0.35385,            0.044612,           0.0093501,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.043758,            0.011599,                   0,              0.6771,             0.68118,             0.71648,             0.30182,            0.042091,           0.0091477,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.042376,            0.010915,                   0,             0.67897,             0.75261,             0.74916,             0.37299,            0.039175,           0.0083884,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.040973,           0.0098974,                   0,             0.69562,             0.76046,             0.75185,             0.37214,            0.041016,           0.0083136,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.040093,           0.0096662,                   0,             0.81867,             0.76481,             0.81826,             0.39185,            0.036785,           0.0069401,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.039873,            0.010136,                   0,             0.83362,             0.75939,             0.81971,             0.39987,            0.036935,           0.0068052,                   0,            0.008515,            0.008515,            0.008515
